experiment_id,method,intervention,washout_batches,metric,n_panels,mean,sd,ci95_low,ci95_high,n_seeds_min,n_seeds_max,individual_panels,interval_type
stage_a_uci_v2,sar_complete,parameters,4,disagreement_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters,4,absolute_error_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters,4,nll_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters,4,brier_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,0,disagreement_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,0,absolute_error_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,0,nll_gap_change,1,-5.0481432768175876e-05,,,,3,3,"{""uci_internal_fixed"": -5.0481432768175876e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,0,brier_gap_change,1,-1.3149844326745588e-05,,,,3,3,"{""uci_internal_fixed"": -1.3149844326745588e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,4,disagreement_change,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,4,absolute_error_gap_change,1,-0.0003255208333333333,,,,3,3,"{""uci_internal_fixed"": -0.0003255208333333333}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,4,nll_gap_change,1,2.920671777545e-05,,,,3,3,"{""uci_internal_fixed"": 2.920671777545e-05}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_aux,4,brier_gap_change,1,4.947722413421267e-06,,,,3,3,"{""uci_internal_fixed"": 4.947722413421267e-06}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,0,disagreement_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,0,absolute_error_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,0,nll_gap_change,1,5.677964605490619e-07,,,,3,3,"{""uci_internal_fixed"": 5.677964605490619e-07}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,0,brier_gap_change,1,2.6535557384512378e-08,,,,3,3,"{""uci_internal_fixed"": 2.6535557384512378e-08}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,4,disagreement_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,4,absolute_error_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v2,sar_complete,parameters_optimizer,4,nll_gap_change,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
